#MASTER VARIABLE MAP - ACCESS-OM2[-025]
#cmip_variable,definable_in_access,access_variable(s),calculation,units,axes_modifier,positive,ACCESS_ver[CM2/ESM/both],realm,notes
#
#...ocean...
chlos,yes,phyos_raw,(var[0]*106*0.012)/(16*50*1000),kg m-3,dropZ,,both,ocnBgchem,
#phycos,yes,phy,ocean_surface(var[0]*106/16),mmol m-3,dropZ,,both,ocnBgchem,
phycos,yes,phyos_raw,var[0]*106/16,mmol m-3,dropZ,,both,ocnBgchem,
#phynos,yes,phy,ocean_surface(var[0]),mmol m-3,dropZ,,both,ocnBgchem,
phynos,yes,phyos_raw,,mmol m-3,dropZ,,both,ocnBgchem,
spco2,yes,paco2,var[0]*0.101325,Pa,,,both,ocnBgchem,
spco2nat,yes,pco2,var[0]*0.101325,Pa,,,both,ocnBgchem,
zooc,yes,zoo,var[0]*106/16,mmol m-3,,,both,ocnBgchem,
zoocos,yes,zoo,ocean_surface(var[0])*106/16,mmol m-3,dropZ,,both,ocnBgchem,
detocos,yes,det,ocean_surface(var[0])*106/16,mmol m-3,dropZ,,both,ocnBgchem,
#
